Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Item,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch,WBS Element
2024-01-03,B51PGWPR100,Y STRAINER,,2024-01-03,-78,0,221,M1-22041.4300003938.1,PC,1,-18809197,4900300674,IMS_INVT01,,FINISHING WS.INK,,,61376,,M1-22041.4300003938.1
2024-01-03,B642K74016,COAT HOOK,,2024-01-03,-148,0,221,M1-22041.4300003938.1,PC,1,-15200044,4900300747,IMS_INVT01,,WS. INKA,,,61440,,M1-22041.4300003938.1
2024-01-03,B662A18002,FIX WINDOW,,2024-01-03,-124,0,221,M1-22041.4300003938.1,SET,1,-564200000,4900300670,IMS_INVT01,,WS. BAGI,,,61395,,M1-22041.4300003938.1
2024-01-03,B662A18020,OPENABLE WINDOW,,2024-01-03,-58,0,221,M1-22041.4300003938.1,SET,2,-348000000,4900300670,IMS_INVT01,,WS. BAGI,,,61395,,M1-22041.4300003938.1
2024-01-03,D68QH000-124#BC,SIKAFLEX AUTO BLACK,,2024-01-03,-20,0,221,M1-22041.4300003938.1,SAU,1,-1320000,4900300748,IMS_INVT01,,WS. BAGI,,,61426,,M1-22041.4300003938.1
2024-01-03,A11AB0023,STEEL PLATE,,2024-01-03,-28.00,0,221,M1-22041.4300003938.2,SHT,1,-23555467,4900300662,IMS_INVT01,,WS. BAGI,,,61387,,M1-22041.4300003938.2
2024-01-03,B342A71004001,BUSH,,2024-01-03,-140,0,221,M1-22041.4300003938.2,PC,16,-7322000,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004002,BUSH,,2024-01-03,-88,0,221,M1-22041.4300003938.2,PC,23,-6644000,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004003,BUSH,,2024-01-03,-88,0,221,M1-22041.4300003938.2,PC,18,-6292000,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004004,BUSH,,2024-01-03,-88,0,221,M1-22041.4300003938.2,PC,22,-12927200,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004005,BUSH,,2024-01-03,-44,0,221,M1-22041.4300003938.2,PC,24,-6063200,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004006,BUSH,,2024-01-03,-6,0,221,M1-22041.4300003938.2,PC,14,-684600,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004007,BUSH,,2024-01-03,-140,0,221,M1-22041.4300003938.2,PC,13,-7980000,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004008,BUSH,,2024-01-03,-140,0,221,M1-22041.4300003938.2,PC,12,-8862000,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004009,BUSH,,2024-01-03,-44,0,221,M1-22041.4300003938.2,PC,28,-9407948,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004010,BUSH,,2024-01-03,-44,0,221,M1-22041.4300003938.2,PC,29,-4850208,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
2024-01-03,B342A71004011,BUSH,,2024-01-03,-44,0,221,M1-22041.4300003938.2,PC,26,-14712456,4900300653,IMS_INVT01,,WS. INKA,,,61153,,M1-22041.4300003938.2
