Material,Plnt,SLoc,S,Valuation,Special stock number,SL,Batch,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
A10WG0050#GR,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"3,00",IDR,2.247.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0050#GR,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"42,00",IDR,31.458.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0050#GR,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"9,00",IDR,6.741.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0050#GR,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"11,00",IDR,8.239.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0050#GR,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"1,00",IDR,749.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0060#GR,2301,IS01,,,,,,SHT,"5,00",IDR,5.412.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0060#GR,2301,IS01,Q,M,M9-22004.9000000035,,,SHT,"1,00",IDR,1.082.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0080#GR,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"3,00",IDR,3.509.700,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0080#GR,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"16,00",IDR,19.198.400,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0080#GR,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"15,00",IDR,17.998.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WG0080#GR,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"2,00",IDR,2.399.800,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0100,2301,IS01,Q,M,M1-23001.9000000082,,,SHT,"111,00",IDR,68.589.675,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0100,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"23,00",IDR,14.212.275,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"29,00",IDR,24.714.525,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"389,00",IDR,331.515.525,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"249,00",IDR,212.204.025,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"1,00",IDR,852.225,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"106,00",IDR,90.335.850,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-22041.9000000333,,,SHT,"1,00",IDR,852.225,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0150,2301,IS01,Q,M,M1-23003.9000000337,,,SHT,"47,00",IDR,40.054.575,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-22008.9000000184,,,SHT,"3,00",IDR,3.137.535,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-22033.9000000027,,,SHT,"12,00",IDR,12.344.400,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-23001.9000000082,,,SHT,"29,00",IDR,30.079.950,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-23010.4300004430,,,SHT,"5,00",IDR,5.143.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"22,00",IDR,22.707.600,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"18,00",IDR,18.516.600,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"1,00",IDR,1.028.700,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M1-22041.4300003938.4,,,SHT,"172,00",IDR,176.936.400,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WY0200,2301,IS01,Q,M,M5-23003.7100001690,,,SHT,"62,00",IDR,63.779.400,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10WZ0180,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"7,00",IDR,6.247.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10XB02060060,2301,IS01,Q,M,M1-23003.9000000380,,,SHT,"27,00",IDR,72.562.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10XI0026,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"20,00",IDR,1.700.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
